"[Info]"
"Product";"Version";"Host";"Timestamp";"Author";"Connection";"Application"
"FngArchiv";"5.0.0";"CTPC06603";"2020-10-30 11:10:18";Manager;"CTPC06603";"Control"
"AdysTech.InfluxDB.Client.Net";"0.6.9.0"
"Microsoft.Owin";"3.0.1.0"
"Microsoft.Owin.FileSystems";"3.0.1.0"
"Microsoft.Owin.Host.HttpListener";"3.0.1.0"
"Microsoft.Owin.Hosting";"3.0.1.0"
"Microsoft.Owin.StaticFiles";"3.0.1.0"
"Newtonsoft.Json";"10.0.0.0"
"NLog";"4.0.0.0"
"Opc.Ua.Client";"1.4.354.0"
"Opc.Ua.Configuration";"1.4.354.0"
"Opc.Ua.Core";"1.4.354.0"
"Opc.Ua.Server";"1.4.354.0"
"Owin";"1.0.0.0"
"ServiceWire";"5.0.0.0"
"System.Diagnostics.DiagnosticSource";"4.0.1.1"
"System.Net.Http";"4.1.1.0"
"System.Net.Http.Formatting";"5.2.3.0"
"System.Web.Cors";"5.2.3.0"
"System.Web.Http";"5.2.3.0"
"System.Web.Http.Owin";"5.2.3.0"
"TBN45";"4.45.0.3651"
"Telerik.Documents.SpreadsheetStreaming";"2017.3.1010.40"
"Telerik.WinControls.Analytics";"2017.3.1017.40"
"Telerik.WinControls.ChartView";"2017.3.1017.40"
"Telerik.WinControls";"2017.3.1017.40"
"Telerik.WinControls.GridView";"2017.3.1017.40"
"Telerik.WinControls.PdfViewer";"2017.3.1017.40"
"Telerik.WinControls.PivotGrid";"2017.3.1017.40"
"Telerik.WinControls.RadChart";"2017.3.1017.40"
"Telerik.WinControls.RadDiagram";"2017.3.1017.40"
"Telerik.WinControls.RadDock";"2017.3.1017.40"
"Telerik.WinControls.RadMap";"2017.3.1017.40"
"Telerik.WinControls.RadMarkupEditor";"2017.3.1017.40"
"Telerik.WinControls.RadSpreadsheet";"2017.3.1017.40"
"Telerik.WinControls.RichTextBox";"2016.2.608.40"
"Telerik.WinControls.RichTextEditor";"2017.3.1017.40"
"Telerik.WinControls.Scheduler";"2017.3.1017.40"
"Telerik.WinControls.SpellChecker";"2017.3.1017.40"
"Telerik.WinControls.Themes.Aqua";"2017.3.1017.40"
"Telerik.WinControls.Themes.Breeze";"2017.3.1017.40"
"Telerik.WinControls.Themes.Desert";"2017.3.1017.40"
"Telerik.WinControls.Themes.HighContrastBlack";"2017.3.1017.40"
"Telerik.WinControls.Themes.Material";"2017.3.1017.40"
"Telerik.WinControls.Themes.MaterialBlueGrey";"2017.3.1017.40"
"Telerik.WinControls.Themes.MaterialPink";"2017.3.1017.40"
"Telerik.WinControls.Themes.MaterialTeal";"2017.3.1017.40"
"Telerik.WinControls.Themes.Office2007Black";"2017.3.1017.40"
"Telerik.WinControls.Themes.Office2007Silver";"2017.3.1017.40"
"Telerik.WinControls.Themes.Office2010Black";"2017.3.1017.40"
"Telerik.WinControls.Themes.Office2010Blue";"2017.3.1017.40"
"Telerik.WinControls.Themes.Office2010Silver";"2017.3.1017.40"
"Telerik.WinControls.Themes.Office2013Dark";"2017.3.1017.40"
"Telerik.WinControls.Themes.Office2013Light";"2017.3.1017.40"
"Telerik.WinControls.Themes.TelerikMetro";"2017.3.1017.40"
"Telerik.WinControls.Themes.TelerikMetroBlue";"2017.3.1017.40"
"Telerik.WinControls.Themes.TelerikMetroTouch";"2017.3.1017.40"
"Telerik.WinControls.Themes.VisualStudio2012Dark";"2017.3.1017.40"
"Telerik.WinControls.Themes.VisualStudio2012Light";"2017.3.1017.40"
"Telerik.WinControls.Themes.Windows7";"2017.3.1017.40"
"Telerik.WinControls.Themes.Windows8";"2017.3.1017.40"
"Telerik.WinControls.UI.Design";"2017.3.1017.40"
"Telerik.WinControls.UI";"2017.3.1017.40"
"Telerik.Windows.Documents.Core";"2017.3.1010.40"
"Telerik.Windows.Documents.Fixed";"2017.3.1010.40"
"Telerik.Windows.Documents.Flow";"2017.3.1010.40"
"Telerik.Windows.Documents.Flow.FormatProviders.Pdf";"2017.3.1010.40"
"Telerik.Windows.Documents.Spreadsheet";"2017.3.1010.40"
"Telerik.Windows.Documents.Spreadsheet.FormatProviders.OpenXml";"2017.3.1010.40"
"Telerik.Windows.Documents.Spreadsheet.FormatProviders.Pdf";"2017.3.1010.40"
"Telerik.Windows.Zip";"2017.3.1010.40"
"TelerikCommon";"2017.3.1017.40"
"TelerikData";"2017.3.1017.40"
"TelerikExport";"2017.3.1017.40"
"TelerikProviderForGoogleAnalytics";"1.0.0.0"
"TitaniumAS.Opc.Client";"1.0.2.0"
"TrendViewer";"1.1.1558.20"
"VisualStyleBuilder.Design";"2017.3.1017.40"
"ConfigurationBackup";"5.5.1.0"
"CoreConfigurationLoader";"5.5.1.0"
"DASGIP.Control.Core.Service";"5.5.1.0"
"DASGIP.Control.Maintenance";"5.5.1.0"
"DASGIP.Control.UI.View";"5.5.1.0"
"DASGIP.DTP.OPC.Monitor";"5.2.7262.26196"
"DASGIP.DTP.OPC.Server";"5.2.7262.26192"
"RegAsm";"4.0.0.0"

"[CoreInfo]"
"Product";"Version";"Host";"Option1"
"DASware Control Core";"5.5.1.0";"CTPC06603"
"Database";"5.0.0.0"
"TimezoneBias";60

"[ProjectInfo]"
"ProjName";"FullName";"Filename";"LocName";"LocNamePar";"LocComment";"State";"Version";"StartTimestamp";"StopTimestamp";"Tracks";"Resource";"Guid";"Parameter1";"Parameter2";"Parameter3";"Parameter4";"Parameter5";"Parameter6";"Parameter7";"Parameter8";"Parameter9";"Parameter10";"Parameter11";"Parameter12";"Parameter13";"Parameter14";"Parameter15";"Parameter16";"Parameter17";"Parameter18";"Parameter19";"Parameter20"
"Manager 88.Control";"\Manager 88.Control";"";"Manager 88.Control";"";"Using BioFlo; (pH, DO, Redox); (FAir, FO2, FCO2, FN2)";4;"1.3.2";2020-10-27 09:50:59;2020-10-30 09:46:48;"0";"";"{B02FDE38-2319-401D-A6CF-5DED352506FF}"
"Module";"\Manager 88.Control\dgcMain";"";"General";"General";"";4;"1.3.2";"2020-10-27 09:50:59";"2020-10-30 09:46:48";"0";"";"{B02FDE38-2319-401D-A6CF-5DED352506FF}";"Prc=\Applications\fngControl\Workflows\Manager 88\Procedures\Control;";"PrcMod=\dgcMain";"Plant=<Prc>\{\Resource-Resource\Procedure-Plant}"
"Module2";"\Manager 88.Control\dgcMainu1";"";"Setup 1";"Setup 1";"";4;"1.3.2";2020-10-27 09:50:59;2020-10-30 09:46:48;"64";"{2C70FB94-8F65-499C-8322-00826A64432A}";"{82709FC7-056E-4C1B-A684-5674E0FAB516}";"PrcMod=\dgcMain";"Prc=\Applications\fngControl\Workflows\Manager 88\Procedures\Control;";"Stp=\Applications\fngControl\Workflows\Manager 88\Procedures\Control\Setups\Setup 1;";"UnitNo=1";"StpNo = 1";"Unit=<Stp>\{\Resource-Resource\Procedure-Plant};";"Plant=<Unit>//"

"[TrackInfo]"
"ProjName";"FullName";"LocName";"LocNamePar";"LocComment";"Unit";"StartTimestamp";"StopTimestamp";"LogInterval";"LogIntervalTime";"Deadband";"Digits";"ValueType";"Module";"Guid";"Resource1";"Resource2";"Resource3"
"Timestamp";"Timestamp";"Timestamp";"Timestamp";;;2009-10-20 19:02:38;2009-10-20 19:02:38;;;;;;"\Manager 88.Control\dgcMain"
"Duration";"Duration";"Duration";"Duration";;;2009-10-20 19:02:38;2009-10-20 19:02:38;;;;;;"\Manager 88.Control\dgcMain"
"Timestamp";"Timestamp";"Timestamp";"Timestamp";;;2020-10-27 09:50:59;2020-10-30 09:46:48;;;;;;"\Manager 88.Control\dgcMainu1"
"Duration";"Duration";"Duration";"Duration";;;2020-10-27 09:50:59;2020-10-30 09:46:48;;;;;;"\Manager 88.Control\dgcMainu1"
"Track1";"\Manager 88.Control\dgcMainu1\Reactor\InoculationTime";"Unit.InoculationTime";"Unit 1.InoculationTime";"InoculationTime";"";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.0001;1;6;"\Manager 88.Control\dgcMainu1";"{00000000-0000-0000-0000-000000000000}"
"Track2";"\Manager 88.Control\dgcMainu1\Reactor\BalA.MPV";"Unit.BalA.MPV";"Unit 1.BalA1.MPV";"Balance mass process value";"g";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;2;3;"\Manager 88.Control\dgcMainu1";"{ea74681e-03f7-48de-bdaa-b4a44e1cd759}"
"Track3";"\Manager 88.Control\dgcMainu1\Reactor\BalB.MPV";"Unit.BalB.MPV";"Unit 1.BalB1.MPV";"Balance mass process value";"g";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;2;3;"\Manager 88.Control\dgcMainu1";"{e754a9b5-98d0-41b0-aecf-39e00d28e2d0}"
"Track4";"\Manager 88.Control\dgcMainu1\Reactor\DO.Out";"Unit.DO.Out";"Unit 1.DO1.Out";"Controller output value";"%";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{759c5843-8e00-4ce1-aaac-fd9827284399}"
"Track5";"\Manager 88.Control\dgcMainu1\Reactor\DO.PV";"Unit.DO.PV";"Unit 1.DO1.PV";"DO sensor process value";"%DO";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.5;1;3;"\Manager 88.Control\dgcMainu1";"{9c92b478-3589-4487-b683-e5c9b68bcdb0}"
"Track6";"\Manager 88.Control\dgcMainu1\Reactor\DO.SP";"Unit.DO.SP";"Unit 1.DO1.SP";"DO setpoint value";"%DO";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.5;1;3;"\Manager 88.Control\dgcMainu1";"{67ad607d-36c0-42b8-8803-0c92a544bf0c}"
"Track7";"\Manager 88.Control\dgcMainu1\Reactor\ExternalA.MFM.FPV";"Unit.ExternalA.MFM.FPV";"Unit 1.ExternalA1.MFM.FPV";"";"ls/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.01;4;3;"\Manager 88.Control\dgcMainu1";"{84c5936e-65fa-4a52-8a4f-fda760e278a3}"
"Track8";"\Manager 88.Control\dgcMainu1\Reactor\ExternalB.MFC.FPV";"Unit.ExternalB.MFC.FPV";"Unit 1.ExternalB1.MFC.FPV";"";"sl/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.01;2;3;"\Manager 88.Control\dgcMainu1";"{16f627ed-e672-40ab-b41f-e0819d3c2e42}"
"Track9";"\Manager 88.Control\dgcMainu1\Reactor\ExternalC.MFC.FSP";"Unit.ExternalC.MFC.FSP";"Unit 1.ExternalC1.MFC.FSP";"";"sl/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.01;2;3;"\Manager 88.Control\dgcMainu1";"{e86e27b5-ed77-48c3-a0ea-1aaf01decf73}"
"Track10";"\Manager 88.Control\dgcMainu1\Reactor\ExternalD.MFC.FSPM";"Unit.ExternalD.MFC.FSPM";"Unit 1.ExternalD1.MFC.FSPM";"";"sl/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.01;2;3;"\Manager 88.Control\dgcMainu1";"{3fa77600-508e-40b9-9466-7857435c24af}"
"Track11";"\Manager 88.Control\dgcMainu1\Reactor\F.PV";"Unit.F.PV";"Unit 1.F1.PV";"Total flow process value";"sL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{badf8468-ccf8-4396-903d-b4b2bb339e9c}"
"Track12";"\Manager 88.Control\dgcMainu1\Reactor\F.SP";"Unit.F.SP";"Unit 1.F1.SP";"Total flow setpoint value";"sL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{814db951-4104-4032-baa7-fc764ec6cb6a}"
"Track13";"\Manager 88.Control\dgcMainu1\Reactor\FA.PV";"Unit.FA.PV";"Unit 1.FA1.PV";"Flow process value";"mL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{ce62d110-3433-40f5-8de7-c21d1a5d18be}"
"Track14";"\Manager 88.Control\dgcMainu1\Reactor\FA.SP";"Unit.FA.SP";"Unit 1.FA1.SP";"Flow setpoint value";"mL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{4ce5f819-e674-429b-b927-b9cc0f48dd63}"
"Track15";"\Manager 88.Control\dgcMainu1\Reactor\FAir.PV";"Unit.FAir.PV";"Unit 1.FAir1.PV";"Air flow process value";"sL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{325bce6d-e0f7-40c9-bf33-f07ac2fc0031}"
"Track16";"\Manager 88.Control\dgcMainu1\Reactor\FAir.SP";"Unit.FAir.SP";"Unit 1.FAir1.SP";"Air flow setpoint value";"sL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{916e74f3-ed92-4254-a278-f05fa849bb02}"
"Track17";"\Manager 88.Control\dgcMainu1\Reactor\FB.PV";"Unit.FB.PV";"Unit 1.FB1.PV";"Flow process value";"mL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{31a9613c-0592-4732-88df-6af0a1098f80}"
"Track18";"\Manager 88.Control\dgcMainu1\Reactor\FB.SP";"Unit.FB.SP";"Unit 1.FB1.SP";"Flow setpoint value";"mL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{47f11da0-cb32-41b1-8e24-ce46158fb28b}"
"Track19";"\Manager 88.Control\dgcMainu1\Reactor\FC.PV";"Unit.FC.PV";"Unit 1.FC1.PV";"Flow process value";"mL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{d61a3f36-41d0-4946-abaf-44a594dadd48}"
"Track20";"\Manager 88.Control\dgcMainu1\Reactor\FC.SP";"Unit.FC.SP";"Unit 1.FC1.SP";"Flow setpoint value";"mL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{9edecf6e-d395-4cbe-9d7b-74bd04c1a263}"
"Track21";"\Manager 88.Control\dgcMainu1\Reactor\FCO2.PV";"Unit.FCO2.PV";"Unit 1.FCO21.PV";"CO2 flow process value";"sL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{676c5054-4980-4838-ad05-2ca21057c253}"
"Track22";"\Manager 88.Control\dgcMainu1\Reactor\FCO2.SP";"Unit.FCO2.SP";"Unit 1.FCO21.SP";"CO2 flow setpoint value";"sL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{8dd8f3da-d610-4720-84d5-00236624e104}"
"Track23";"\Manager 88.Control\dgcMainu1\Reactor\FD.PV";"Unit.FD.PV";"Unit 1.FD1.PV";"Flow process value";"mL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{8eb340a1-fc41-444a-af48-cb64d5c79d10}"
"Track24";"\Manager 88.Control\dgcMainu1\Reactor\FD.SP";"Unit.FD.SP";"Unit 1.FD1.SP";"Flow setpoint value";"mL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{b0b88933-cba0-437b-87f9-f706e5442a7a}"
"Track25";"\Manager 88.Control\dgcMainu1\Reactor\FE.PV";"Unit.FE.PV";"Unit 1.FE1.PV";"Flow process value";"mL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{fb528e58-9410-4cb5-ae2b-9ff964e35f23}"
"Track26";"\Manager 88.Control\dgcMainu1\Reactor\FE.SP";"Unit.FE.SP";"Unit 1.FE1.SP";"Flow setpoint value";"mL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{a3a409c2-fede-4fc1-bc74-283722127a33}"
"Track27";"\Manager 88.Control\dgcMainu1\Reactor\FF.PV";"Unit.FF.PV";"Unit 1.FF1.PV";"Flow process value";"mL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{4aaa47da-b62b-4192-a92a-14cb1b4f0baf}"
"Track28";"\Manager 88.Control\dgcMainu1\Reactor\FF.SP";"Unit.FF.SP";"Unit 1.FF1.SP";"Flow setpoint value";"mL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{f65e3604-3249-426b-adfa-1f56a2024925}"
"Track29";"\Manager 88.Control\dgcMainu1\Reactor\FN2.PV";"Unit.FN2.PV";"Unit 1.FN21.PV";"N2 flow process value";"sL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{54d5f7bb-4bf9-48da-bab5-f93851403899}"
"Track30";"\Manager 88.Control\dgcMainu1\Reactor\FN2.SP";"Unit.FN2.SP";"Unit 1.FN21.SP";"N2 flow setpoint value";"sL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{1a2bd762-04b0-40cb-8b27-bc12a7310fb4}"
"Track31";"\Manager 88.Control\dgcMainu1\Reactor\FO2.PV";"Unit.FO2.PV";"Unit 1.FO21.PV";"O2 flow process value";"sL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{b9f82056-6515-4750-80d2-90d1dbd31caf}"
"Track32";"\Manager 88.Control\dgcMainu1\Reactor\FO2.SP";"Unit.FO2.SP";"Unit 1.FO21.SP";"O2 flow setpoint value";"sL/h";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{c3529c11-f402-4215-bc0e-c22e53397969}"
"Track33";"\Manager 88.Control\dgcMainu1\Reactor\N.PV";"Unit.N.PV";"Unit 1.N1.PV";"Agitation process value";"rpm";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";1;0;3;"\Manager 88.Control\dgcMainu1";"{07d880f0-0351-415b-9f57-3692ec830edf}"
"Track34";"\Manager 88.Control\dgcMainu1\Reactor\N.SP";"Unit.N.SP";"Unit 1.N1.SP";"Agitation setpoint value";"rpm";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";1;0;3;"\Manager 88.Control\dgcMainu1";"{4c793fa6-9482-4817-8b31-09f1a1a1bb4e}"
"Track35";"\Manager 88.Control\dgcMainu1\Reactor\ODAU.PV";"Unit.ODAU.PV";"Unit 1.ODAU1.PV";"Optical density arbitrary units process value";"";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.01;3;3;"\Manager 88.Control\dgcMainu1";"{48223d30-bec0-4446-9fc2-8246100a0dbb}"
"Track36";"\Manager 88.Control\dgcMainu1\Reactor\ODCX.PV";"Unit.ODCX.PV";"Unit 1.ODCX1.PV";"Optical density cell concentration process value";"";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.01;2;3;"\Manager 88.Control\dgcMainu1";"{d01d696a-fb47-4692-ba73-158959cf37ab}"
"Track37";"\Manager 88.Control\dgcMainu1\Reactor\OfflineA.OfflineA";"Unit.OfflineA.OfflineA";"Unit 1.OfflineA1.OfflineA";"";"";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.01;2;3;"\Manager 88.Control\dgcMainu1";"{99c282e7-722a-43a4-a3ce-281449432bf6}"
"Track38";"\Manager 88.Control\dgcMainu1\Reactor\OfflineB.OfflineB";"Unit.OfflineB.OfflineB";"Unit 1.OfflineB1.OfflineB";"";"";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.01;2;3;"\Manager 88.Control\dgcMainu1";"{9dd112c6-94d9-4c1d-a7e9-38aab5e5009a}"
"Track39";"\Manager 88.Control\dgcMainu1\Reactor\OfflineC.OfflineC";"Unit.OfflineC.OfflineC";"Unit 1.OfflineC1.OfflineC";"";"";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.01;2;3;"\Manager 88.Control\dgcMainu1";"{5028205f-72ee-42cc-8ff1-09e1cf8a11ce}"
"Track40";"\Manager 88.Control\dgcMainu1\Reactor\OfflineD.OfflineD";"Unit.OfflineD.OfflineD";"Unit 1.OfflineD1.OfflineD";"";"";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.01;2;3;"\Manager 88.Control\dgcMainu1";"{fc34d7ae-1455-43e5-a281-337c1f5a69fd}"
"Track41";"\Manager 88.Control\dgcMainu1\Reactor\pH.Out";"Unit.pH.Out";"Unit 1.pH1.Out";"Controller output value";"%";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{b57abd41-2557-4591-8e0a-84c2229126ce}"
"Track42";"\Manager 88.Control\dgcMainu1\Reactor\pH.PV";"Unit.pH.PV";"Unit 1.pH1.PV";"pH sensor process value";"pH";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.05;2;3;"\Manager 88.Control\dgcMainu1";"{08706e5b-98a9-46e2-a976-f0fe2ba3fa40}"
"Track43";"\Manager 88.Control\dgcMainu1\Reactor\pH.SP";"Unit.pH.SP";"Unit 1.pH1.SP";"pH setpoint value";"pH";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.05;2;3;"\Manager 88.Control\dgcMainu1";"{30295123-18b1-425f-a205-72f1362a7bf0}"
"Track44";"\Manager 88.Control\dgcMainu1\Reactor\RD.Out";"Unit.RD.Out";"Unit 1.RD1.Out";"Controller output value";"%";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{1410ea7a-0bc3-458a-bb2c-7d733859f41e}"
"Track45";"\Manager 88.Control\dgcMainu1\Reactor\RD.PV";"Unit.RD.PV";"Unit 1.RD1.PV";"RD sensor process value";"mV";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";1;1;3;"\Manager 88.Control\dgcMainu1";"{5c15f8fb-27c0-4c7b-8670-e2d27f7e141b}"
"Track46";"\Manager 88.Control\dgcMainu1\Reactor\RD.SP";"Unit.RD.SP";"Unit 1.RD1.SP";"RD setpoint value";"mV";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.05;2;3;"\Manager 88.Control\dgcMainu1";"{c6c6937d-9a7a-44be-8266-9c3aa0f81a5d}"
"Track47";"\Manager 88.Control\dgcMainu1\Reactor\T.Out";"Unit.T.Out";"Unit 1.T1.Out";"Controller output value";"%";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{a61efed7-b4af-4298-9587-6166584a8c64}"
"Track48";"\Manager 88.Control\dgcMainu1\Reactor\T.PV";"Unit.T.PV";"Unit 1.T1.PV";"Temperature process value";"°C";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.05;1;3;"\Manager 88.Control\dgcMainu1";"{3c473a1d-0162-438e-9715-3f21bff8ad5a}"
"Track49";"\Manager 88.Control\dgcMainu1\Reactor\T.SP";"Unit.T.SP";"Unit 1.T1.SP";"Temperature controller setpoint value";"°C";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.05;1;3;"\Manager 88.Control\dgcMainu1";"{dcf55fa9-5ad8-4459-a2ee-1da809eb6c09}"
"Track50";"\Manager 88.Control\dgcMainu1\Reactor\V.PV";"Unit.V.PV";"Unit 1.V1.PV";"Volume process value";"sL";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{d1750ec2-e5ec-47ef-8386-b14363536cf6}"
"Track51";"\Manager 88.Control\dgcMainu1\Reactor\V.VPV";"Unit.V.VPV";"Unit 1.V1.VPV";"Vessel volume process value";"mL";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.1;1;3;"\Manager 88.Control\dgcMainu1";"{1e96e5c1-6e8b-4f41-ab14-e356ded96745}"
"Track52";"\Manager 88.Control\dgcMainu1\Reactor\VA.PV";"Unit.VA.PV";"Unit 1.VA1.PV";"Volume process value";"mL";2020-10-27 09:50:59;2020-10-30 09:46:48;1;"30s";0.5;1;3;"\Manager 88.Control\dgcMainu1";"{1f660490-004a-491b-9a37-71ef2f8d14cf}"
